begin,open,high,low,close,volume
2024-05-20 09:50:00,155.31,155.31,155.31,155.31,12340.0
2024-05-20 10:00:00,155.4,155.69,155.2,155.31,1044540.0
2024-05-20 10:10:00,155.32,155.32,154.34,154.4,1355000.0
2024-05-20 10:20:00,154.4,154.4,154.38,154.39,526210.0
2024-05-20 10:30:00,154.39,154.5,154.38,154.41,805560.0
2024-05-20 10:40:00,154.41,154.5,154.4,154.5,320680.0
2024-05-20 10:50:00,154.5,154.68,154.25,154.26,1036410.0
2024-05-20 11:00:00,154.25,154.39,154.25,154.31,259010.0
2024-05-20 11:10:00,154.32,154.39,153.98,154.0,1204880.0
2024-05-20 11:20:00,154.0,154.0,153.78,153.78,861910.0
2024-05-20 11:30:00,153.78,153.79,153.69,153.69,1264320.0
2024-05-20 11:40:00,153.7,153.98,153.6,153.61,955840.0
2024-05-20 11:50:00,153.6,153.64,153.26,153.29,1358880.0
2024-05-20 12:00:00,153.3,153.39,153.05,153.29,2381320.0
2024-05-20 12:10:00,153.29,153.45,153.09,153.14,1135930.0
2024-05-20 12:20:00,153.14,153.14,152.01,152.58,3683090.0
2024-05-20 12:30:00,152.58,152.6,152.21,152.32,1565460.0
2024-05-20 12:40:00,152.3,152.4,151.11,151.92,2840210.0
2024-05-20 12:50:00,151.92,152.23,151.9,152.13,2140370.0
2024-05-20 13:00:00,152.12,152.12,151.85,152.0,1013260.0
2024-05-20 13:10:00,152.0,152.0,151.9,151.97,733390.0
2024-05-20 13:20:00,152.0,152.0,151.9,151.98,523750.0
2024-05-20 13:30:00,151.98,151.98,151.06,151.45,2641150.0
2024-05-20 13:40:00,151.47,151.62,151.4,151.5,842420.0
2024-05-20 13:50:00,151.5,152.0,151.49,152.0,1844550.0
2024-05-20 14:00:00,152.0,152.6,151.97,152.59,1521520.0
2024-05-20 14:10:00,152.6,152.6,152.25,152.38,614490.0
2024-05-20 14:20:00,152.38,152.58,152.31,152.56,315550.0
2024-05-20 14:30:00,152.56,152.58,152.25,152.35,441670.0
2024-05-20 14:40:00,152.34,152.47,152.26,152.47,393280.0
2024-05-20 14:50:00,152.47,152.6,152.26,152.45,514700.0
2024-05-20 15:00:00,152.45,152.5,152.08,152.13,484070.0
2024-05-20 15:10:00,152.13,152.4,152.07,152.39,291750.0
2024-05-20 15:20:00,152.38,152.49,152.1,152.1,261300.0
2024-05-20 15:30:00,152.11,152.23,152.0,152.1,351540.0
2024-05-20 15:40:00,152.1,152.9,152.01,152.5,961260.0
2024-05-20 15:50:00,152.5,152.59,152.4,152.59,306330.0
2024-05-20 16:00:00,152.59,152.92,152.57,152.84,609760.0
2024-05-20 16:10:00,152.82,153.42,152.79,153.23,1101660.0
2024-05-20 16:20:00,153.21,153.23,152.74,152.84,586640.0
2024-05-20 16:30:00,152.84,152.89,152.45,152.69,838950.0
2024-05-20 16:40:00,152.7,153.3,152.68,153.22,1056460.0
2024-05-20 16:50:00,153.22,153.39,153.2,153.2,325050.0
2024-05-20 17:00:00,153.21,153.31,152.9,152.98,340920.0
2024-05-20 17:10:00,152.97,153.04,152.71,152.74,343650.0
2024-05-20 17:20:00,152.76,152.8,152.52,152.53,493240.0
2024-05-20 17:30:00,152.53,152.71,152.41,152.41,304600.0
2024-05-20 17:40:00,152.41,152.65,152.4,152.6,295920.0
2024-05-20 17:50:00,152.6,152.76,152.47,152.48,369860.0
2024-05-20 18:00:00,152.48,152.48,152.34,152.38,427460.0
2024-05-20 18:10:00,152.37,152.5,152.35,152.39,162670.0
2024-05-20 18:20:00,152.41,152.43,152.13,152.23,448540.0
2024-05-20 18:30:00,152.23,152.23,151.95,152.01,1101260.0
2024-05-20 18:40:00,151.8,151.8,151.8,151.8,172620.0
2024-05-20 19:00:00,152.2,152.2,151.59,151.87,374460.0
2024-05-20 19:10:00,151.86,152.0,151.85,151.95,157970.0
2024-05-20 19:20:00,151.94,152.18,151.92,152.17,134020.0
2024-05-20 19:30:00,152.18,152.28,152.01,152.02,184490.0
2024-05-20 19:40:00,152.01,152.18,152.0,152.07,162310.0
2024-05-20 19:50:00,152.08,152.08,148.2,148.59,9389270.0
2024-05-20 20:00:00,148.59,149.52,146.54,147.84,13415090.0
2024-05-20 20:10:00,147.88,148.77,147.14,147.5,8870450.0
2024-05-20 20:20:00,147.49,147.99,146.55,147.14,9780270.0
2024-05-20 20:30:00,147.13,147.38,146.8,146.85,4888700.0
2024-05-20 20:40:00,146.85,147.1,146.33,146.67,5640680.0
2024-05-20 20:50:00,146.67,146.68,145.38,145.52,7865540.0
2024-05-20 21:00:00,145.49,146.16,145.03,145.71,8739970.0
